0xe8d38d08fa07668339ceb486fa35b1e91f7620f382a70e50d0eb1ef723b7cdd9,2022-12-17 00:00:00.317597715 -0500 EST m=+550628.081402402
0xfb6994bf9bcc69e49b49db086a04d35360f0a22619074a0a569bb88a7c68350c,2022-12-17 23:48:31.309200589 -0500 EST m=+636339.073005241
0x657d36bb29404a8aefc17db0c004382246e827a7c403a81c4a00f4ff7fbc7ba9,2022-12-17 23:48:31.309291544 -0500 EST m=+636339.073096197
0xadd98ef864b9afd780456a89c4653e30a1a323ddcabb3ab16499c766f8bfdda8,2022-12-17 23:48:31.309378682 -0500 EST m=+636339.073183384
0xc42074a8bdaa3ecd1710c248062ddc06225f51c0d3ebd98d98756525229e2759,2022-12-17 23:48:31.309466743 -0500 EST m=+636339.073271401
0x5b7f1951ea16a059d38e0a8bf33d7c2bda1e4fdef8698406e4d76dea9bd1d763,2022-12-17 23:48:31.309568576 -0500 EST m=+636339.073373245
0x70096f73a8a904224010657fcc14dbdff73ccdce4ef853b6321a37edfc83b2e4,2022-12-17 23:48:31.309651611 -0500 EST m=+636339.073456293
0xff6ac41debb6e29a9f5f6fa30f5d0f9938bf29beaa2cd94bb8336dbb40908c78,2022-12-17 23:48:31.309759604 -0500 EST m=+636339.073564277
0xd51c0579caede31c6cce80bd514f16437dede52b64547da045362fcbad8a5fca,2022-12-17 23:48:31.309832716 -0500 EST m=+636339.073637374
0x34ce40df6a8afc309a75a5269c3ae710d078b3895a50f350fbffc88a16f0bb09,2022-12-17 23:48:31.309895804 -0500 EST m=+636339.073700457
0x89bda5ee1a50661b15512ee8eed83d2195549b7764349c5141b6d369115fd860,2022-12-17 23:48:31.30995385 -0500 EST m=+636339.073758509
0x549b41d1d729a2ab187fcf9bb5ba78e87046bb401d13beda4704b919d36b2640,2022-12-17 23:48:31.310029198 -0500 EST m=+636339.073833863
0x7ef28bcb892279563da95550938af67599811613e86b97fdaf25930648d76e6e,2022-12-17 23:48:31.310107422 -0500 EST m=+636339.073912094
0x7f2063127ff663d1f6bc50297eee892648ded5a82ebc20042378cc115465095a,2022-12-17 23:48:31.310173139 -0500 EST m=+636339.073977791
0x6c22ae0340058af0f965a01de1a80768a2d80296c9200724d1922a907ca23c40,2022-12-17 23:48:31.310225951 -0500 EST m=+636339.074030603
0x8fd3a6f31c36f20acacc12c0af21a04ee0c9bc3dd58a1d2ba30d2d7e69054372,2022-12-17 23:48:31.310304386 -0500 EST m=+636339.074109040
0x8bfbedc6c266ee010741fbfc0efe40cf6ef617ac4e365dc6c5a3e9e288763721,2022-12-17 23:48:31.310367364 -0500 EST m=+636339.074172016
0xf8e09bfecf6f51216839fd2d3cbe446cc86d6884772ccb4edc213c9dbaf02e4c,2022-12-17 23:48:31.310447632 -0500 EST m=+636339.074252301
0x6b7efb97cece2de5152cdf2396dc84d4fcb6bbd15286c4c1e3c8646677cd868e,2022-12-17 23:48:31.310512472 -0500 EST m=+636339.074317126
0xa3d0ffddde81450daaacb32c2596f0d42f9b5d2d57a93d134f2a9c3c6fc3d21e,2022-12-17 23:48:31.31056689 -0500 EST m=+636339.074371543
0x8e441b147a62abd5ef97372aece6531cd384a4ae3c7af2e7743c5764d6625259,2022-12-17 23:48:31.310618052 -0500 EST m=+636339.074422705
0x9ba194f4b548a06198e83cb60bc584f7346b302ea6afbb9d96a7a4d9a83de18f,2022-12-17 23:48:31.310799241 -0500 EST m=+636339.074603893
